"priority","area","file","line","key","current_ja","issue","suggested_direction","translate_or_keep","user_instruction"
"P0","Glossary","overall","","Client / クライアント","Client と クライアントが混在","主要用語の揺れ","Clientを英語で残すか、クライアントに統一する。UIラベルはクライアントの方が自然。","decide",""
"P0","Glossary","overall","","Tenant / テナント","Tenant と テナントが混在","主要用語の揺れ","Tenantを英語で残すか、テナントに統一する。日本語UIではテナント推奨。","decide",""
"P0","Glossary","overall","","Policy / ポリシー","Policy と ポリシーが混在","主要用語の揺れ","一般UIはポリシーに統一。Policy Rulesなど画面名だけ英語維持するか判断。","decide",""
"P0","Glossary","overall","","Profile / プロファイル","Profile と プロファイルが混在","主要用語の揺れ","一般UIはプロファイルに統一。Identity Mappingのsource/destination profileだけ残すなら明文化。","decide",""
"P0","Glossary","overall","","Job / ジョブ","Job と ジョブが混在","主要用語の揺れ","Jobs画面はジョブに統一すると自然。Job Typeなど技術分類は要判断。","decide",""
"P0","Glossary","overall","","Source / Destination","Source/Destination と source/destination が混在","主要用語の揺れ","Identity MappingではSource/Destinationを正式用語として残すか、ソース/宛先に寄せるか決める。","decide",""
"P0","Glossary","overall","","Release","Release / release / リリースが混在","主要用語の揺れ","Identity Mappingのattribute release文脈ではリリースまたは属性リリースに統一。","decide",""
"P0","Glossary","overall","","Review / Draft / Active","Review, draft, active が混在","状態語の揺れ","レビュー、下書き、有効に寄せる。ただしAPI状態値の表示なら残す。","decide",""
"P0","Glossary","overall","","Import / Export","import/export と インポート/エクスポートが混在","操作語の揺れ","UI操作はインポート/エクスポートに統一。ログ値やAPI値は残す。","decide",""
"P0","Glossary","overall","","Preview","Preview と プレビューが混在","操作語の揺れ","UIラベルはプレビューに統一。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","2","admin_operational_logs_head_title","Operational Logs - Admin Dashboard - Authrim","英語UIのまま","運用ログ - Authrim Admin などに変更。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","3","admin_operational_logs_title","Operational Logs","英語UIのまま","運用ログ。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","5","admin_operational_logs_description","Immutable audit logsとは別に保存される、短期保持のreason detail recordを表示します。","英日混在が強い","監査ログとは別に短期保持される理由詳細レコードを表示します。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","7","admin_operational_logs_subject_type","Subject Type","英語UIのまま","主体種別、またはSubject typeを正式用語として残す。","decide",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","9","admin_operational_logs_subject_user","User","英語UIのまま","ユーザー。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","10","admin_operational_logs_subject_client","Client","英語UIのまま","クライアント。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","13","admin_operational_logs_action","Action","英語UIのまま","操作。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","15","admin_operational_logs_entries","Entries","英語UIのまま","エントリ。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","17","admin_operational_logs_loading","Operational logsを読み込み中...","英日混在","運用ログを読み込み中...。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","18","admin_operational_logs_empty","現在のfilterに一致するoperational logはありません。","英日混在","現在のフィルターに一致する運用ログはありません。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","23","admin_operational_logs_view_detail","Detailを表示","英日混在","詳細を表示。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","24","admin_operational_logs_detail_title","Operational Log Detail","英語UIのまま","運用ログ詳細。","translate",""
"P1","Operational Logs","packages/ar-admin-ui/src/i18n/ja/admin-operational-logs.ts","27","admin_operational_logs_reason_detail","Reason Detail","英語UIのまま","理由詳細。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","2","admin_jobs_page_title","Jobs - Admin Dashboard - Authrim","英語UIのまま","ジョブ - Authrim Admin。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","3","admin_jobs_title","Jobs","英語UIのまま","ジョブ。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","5","admin_jobs_description","ユーザーimport、tenant database request、一括更新、report jobなどのqueued operational workを監視します。実行中のjobは自動更新されます。","英日混在が強い","ユーザーインポート、テナントDBリクエスト、一括更新、レポートジョブなど、キューに入った運用作業を監視します。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","7","admin_jobs_create_report_job","Report Jobを作成","英日混在","レポートジョブを作成。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","8","admin_jobs_total_jobs","Total jobs","英語UIのまま","合計ジョブ数。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","9","admin_jobs_active","Active","英語UIのまま","実行中 または 有効。文脈で判断。","decide",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","10","admin_jobs_completed","Completed","英語UIのまま","完了。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","12","admin_jobs_creatable_types_title","作成可能なJob Types","英日混在","作成可能なジョブ種別。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","14","admin_jobs_queue_title","Job Queue","英語UIのまま","ジョブキュー。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","18","admin_jobs_status","Status","英語UIのまま","状態。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","21","admin_jobs_loading_jobs","Jobsを読み込み中...","英日混在","ジョブを読み込み中...。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","24","admin_jobs_empty_hint","import、tenant database request、report jobを作成するとwork trackingを開始できます。","英日混在が強い","インポート、テナントDBリクエスト、レポートジョブを作成すると作業追跡を開始できます。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","26","admin_jobs_duration","Duration","英語UIのまま","所要時間。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","27","admin_jobs_created","Created","英語UIのまま","作成日時。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","28","admin_jobs_actions","Actions","英語UIのまま","操作。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","47","admin_jobs_csv_file","CSV File","英語UI寄り","CSVファイル。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","54","admin_jobs_csv_header","CSV Header","英語UI寄り","CSVヘッダー。","translate",""
"P1","Jobs","packages/ar-admin-ui/src/i18n/ja/admin-jobs.ts","96","admin_jobs_unknown_error","Unknown error","英語UIのまま","不明なエラー。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","2","admin_policies_head_title","Policy Rules - Authrim Admin","英語UIのまま","ポリシールール - Authrim Admin。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","3","admin_policies_title","Policy Rules","英語UIのまま","ポリシールール。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","7","admin_policies_create_policy","Policyを作成","英日混在","ポリシーを作成。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","8","admin_policies_custom_rules","Custom Policy Rules","英語UIのまま","カスタムポリシールール。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","18","admin_policies_search_placeholder","Policyを検索...","英日混在","ポリシーを検索...。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","32","admin_policies_resources_label","Resources:","英語UIのまま","リソース:。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","33","admin_policies_actions_label","Actions:","英語UIのまま","操作: または アクション:。","decide",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","34","admin_policies_conditions_label","Conditions:","英語UIのまま","条件:。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","68","admin_policies_simulator_title","Policy Simulator","英語UIのまま","ポリシーシミュレーター。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","84","admin_policies_reason_label","Reason:","英語UIのまま","理由:。","translate",""
